accelX,accelY,accelZ,gyroX,gyroY,gyroZ,NA
4.29,-8.63,3.79,1.55,0.08,3.45,
3.65,-8.95,3.86,1.41,0.07,3.20,
3.16,-9.36,3.92,1.35,0.11,2.92,
3.27,-10.16,3.54,1.40,0.15,2.64,
3.23,-10.82,3.13,1.53,0.19,2.41,
3.06,-10.67,3.32,1.64,0.19,2.27,
2.84,-10.25,3.78,1.66,0.12,2.20,
2.55,-9.99,4.32,1.56,0.01,2.19,
2.42,-9.60,4.93,1.33,-0.14,2.20,
2.33,-9.29,5.28,1.01,-0.33,2.25,
2.08,-9.03,5.85,0.59,-0.55,2.32,
1.71,-8.79,6.21,0.12,-0.82,2.39,
1.47,-8.54,6.33,-0.41,-1.16,2.48,
1.29,-8.44,6.24,-0.95,-1.51,2.65,
1.15,-8.52,5.92,-1.50,-1.84,2.89,
0.97,-8.57,5.41,-2.03,-2.15,3.14,
0.52,-8.99,4.66,-2.47,-2.37,3.31,
0.52,-9.45,3.79,-2.77,-2.52,3.36,
0.44,-10.18,2.89,-2.92,-2.57,3.31,
0.40,-10.52,2.15,-2.95,-2.56,3.17,
0.27,-10.78,1.48,-2.92,-2.45,2.95,
0.52,-11.26,1.10,-2.75,-2.28,2.67,
0.46,-11.03,0.76,-2.66,-2.05,2.41,
-0.06,-10.73,0.98,-2.62,-1.85,2.11,
-0.54,-10.56,1.08,-2.53,-1.79,1.81,
-0.63,-10.68,0.96,-2.37,-1.69,1.66,
-0.37,-10.51,0.91,-2.32,-1.69,1.55,
-0.33,-10.06,1.12,-2.41,-1.60,1.47,
-0.71,-9.56,1.52,-2.58,-1.60,1.40,
-1.36,-9.26,1.65,-2.79,-1.65,1.38,
-1.98,-9.05,1.66,-3.02,-1.73,1.37,
-2.34,-8.74,1.37,-3.25,-1.92,1.34,
-2.51,-8.58,1.21,-3.50,-2.10,1.31,
-2.75,-8.45,0.62,-3.76,-2.27,1.28,
-2.86,-8.50,-0.15,-3.99,-2.38,1.22,
-2.95,-8.78,-0.87,-4.12,-2.41,1.13,
-2.99,-9.07,-1.55,-4.14,-2.38,0.99,
-2.82,-9.33,-2.02,-4.08,-2.27,0.80,
-2.82,-9.39,-2.56,-3.98,-2.12,0.55,
-2.71,-9.51,-3.08,-3.83,-1.93,0.27,
-2.37,-9.55,-3.64,-3.66,-1.67,0.01,
-1.90,-9.80,-3.89,-3.49,-1.41,-0.21,
-1.32,-9.99,-4.09,-3.33,-1.08,-0.38,
-1.17,-10.07,-4.05,-3.15,-0.72,-0.47,
-1.24,-9.99,-4.01,-2.98,-0.38,-0.53,
-1.54,-9.91,-4.02,-2.83,-0.11,-0.61,
-2.03,-9.65,-4.19,-2.71,0.05,-0.71,
-2.42,-9.01,-4.35,-2.65,0.16,-0.79,
-2.58,-8.53,-4.39,-2.68,0.20,-0.84,
-2.54,-8.15,-4.20,-2.77,0.25,-0.90,
-2.44,-7.62,-3.94,-2.91,0.32,-1.00,
-2.21,-7.17,-3.66,-3.06,0.42,-1.15,
-2.03,-7.17,-3.84,-3.19,0.58,-1.33,
-2.04,-7.28,-4.26,-3.21,0.75,-1.51,
